#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:run8" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:run8" name="birthDiffRate">1.0</parameter>
#            <tree id="StartingTree.t:run8">
#                <taxonset id="TaxonSet.run8" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:run8" name="distribution" x="@birthRate.t:run8">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:run8" name="distribution">
#            <parameter id="rateAC.s:run8" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:run8" name="distribution">
#            <parameter id="rateAG.s:run8" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:run8" name="distribution">
#            <parameter id="rateAT.s:run8" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:run8" name="distribution">
#            <parameter id="rateCG.s:run8" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:run8" name="distribution">
#            <parameter id="rateGT.s:run8" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@run8" id="treeLikelihood.run8" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@StartingTree.t:run8">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:run8" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:run8" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:run8" name="shape">4.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:run8" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:run8" rateAC="@rateAC.s:run8" rateAG="@rateAG.s:run8" rateAT="@rateAT.s:run8" rateCG="@rateCG.s:run8" rateGT="@rateGT.s:run8" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:run8" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:run8" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:run8" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:run8" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:run8" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	
0	-68886.09052437673	-68869.1248246888	-16.96569968792996	-68869.1248246888	0.021000000997446477	-1.0610000503947958	1.0	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	
1000	-66340.59270726217	-66581.96719749957	241.37449023740623	-66581.96719749957	0.03648229852220476	257.27918987494144	28.428711054587037	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	
2000	-65786.8374748636	-66047.7361740043	260.8986991406997	-66047.7361740043	0.038664812643181834	276.8033987782348	57.928617460706896	0.24907201234608564	0.25	0.2509279876539144	0.25	1.0	1.0	1.0	1.0	1.0	
3000	-64699.87345181972	-64962.266323337324	262.3928715176005	-64962.266323337324	0.03603543676971038	278.91413196458194	73.23403740006577	0.24907201234608564	0.25	0.2509279876539144	0.25	1.0	1.8814937105793597	0.9736747734577331	1.0	1.0	
4000	-64393.23166343068	-64659.77740065305	266.545737222378	-64659.77740065305	0.0343383472383646	282.78891718223696	65.343553164426	0.24907201234608564	0.25	0.2509279876539144	0.25	0.9454361476189719	1.8814937105793597	0.9736747734577331	1.0	0.8098934397248825	
5000	-64028.53232113008	-64283.80965966502	255.27733853494098	-64283.80965966502	0.038255600104374086	270.3320805728519	73.56057681345793	0.24907201234608564	0.25	0.2509279876539144	0.25	0.48145647805317004	1.8814937105793597	0.9736747734577331	0.6146203446718292	0.8098934397248825	
6000	-63823.200338284674	-64085.540313907215	262.33997562254234	-64085.540313907215	0.034937199373025064	277.39293658485025	64.58004866137415	0.24907201234608564	0.25944485450267896	0.2509279876539144	0.24055514549732107	0.48145647805317004	1.8814937105793597	0.9736747734577331	0.6146203446718292	0.8084954292942905	
7000	-63727.75772731355	-63992.48962675185	264.7318994382997	-63992.48962675185	0.032582417318514904	279.7848604006076	64.34157388499828	0.24907201234608564	0.25944485450267896	0.2509279876539144	0.24055514549732107	0.48145647805317004	1.8814937105793597	0.9736747734577331	0.6146203446718292	0.8084954292942905	
8000	-63471.21335631851	-63734.340863679754	263.12750736123974	-63734.340863679754	0.034207683018013926	277.7048679525826	56.90188666403819	0.24542555274916758	0.26035013773465426	0.2509279876539144	0.24329632186226383	0.48145647805317004	1.8814937105793597	0.9736747734577331	0.47140303668499894	0.6589523702597798	
9000	-63284.0165738753	-63544.001061161856	259.984487286556	-63544.001061161856	0.03486868083343958	274.3463871795377	55.7691878817265	0.22640788286972402	0.26035013773465426	0.26044932930189674	0.25279265009372504	0.48145647805317004	1.8814937105793597	0.9736747734577331	0.4405595217630271	0.5691897060779355	
10000	-63210.24377508474	-63473.85613028234	263.61235519759543	-63473.85613028234	0.03377075190968476	278.3337960222994	63.46444453718489	0.22640788286972402	0.26058011585520613	0.26044932930189674	0.25256267197317317	0.6878394506688079	1.8814937105793597	0.9736747734577331	0.4405595217630271	0.5691897060779355	
11000	-63057.740420894326	-63320.598676835994	262.85825594166687	-63320.598676835994	0.0333465744908647	277.4673995884564	69.15182350715804	0.22640788286972402	0.2693095065994027	0.25171993855770014	0.25256267197317317	0.6878394506688079	2.079612521276025	0.7897288121267736	0.4405595217630271	0.5691897060779355	
12000	-62983.82426108488	-63246.52627313702	262.7020120521335	-63246.52627313702	0.0333465744908647	277.311155698923	49.94658387781771	0.22640788286972402	0.2693095065994027	0.25171993855770014	0.25256267197317317	0.6878394506688079	2.079612521276025	0.7897288121267736	0.4405595217630271	0.5691897060779355	
13000	-62936.06536104418	-63197.816877296646	261.75151625246633	-63197.816877296646	0.0332557457964352	276.36065989925584	61.386218895298924	0.22640788286972402	0.2693095065994027	0.25171993855770014	0.25256267197317317	0.6878394506688079	2.079612521276025	0.7897288121267736	0.4405595217630271	0.5691897060779355	
14000	-62913.42692150746	-63175.339652310504	261.9127308030403	-63175.339652310504	0.032708422391105045	276.23740993375105	57.63701129221164	0.22640788286972402	0.2693095065994027	0.25171993855770014	0.25256267197317317	0.5928992124314967	2.079612521276025	0.7897288121267736	0.4405595217630271	0.4980926434731853	
