#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:run1snps" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:run1snps" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:run1snps">
#                <taxonset id="TaxonSet.run1snps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:run1snps" name="distribution" x="@birthRate.t:run1snps">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:run1snps" name="distribution">
#            <parameter id="rateAC.s:run1snps" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:run1snps" name="distribution">
#            <parameter id="rateAG.s:run1snps" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:run1snps" name="distribution">
#            <parameter id="rateAT.s:run1snps" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.02" name="distr">
#                <parameter estimate="false" id="RealParameter.04" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.05" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:run1snps" name="distribution">
#            <parameter id="rateCG.s:run1snps" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.03" name="distr">
#                <parameter estimate="false" id="RealParameter.06" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.07" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:run1snps" name="distribution">
#            <parameter id="rateGT.s:run1snps" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.04" name="distr">
#                <parameter estimate="false" id="RealParameter.08" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.09" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@run1snps" id="treeLikelihood.run1snps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:run1snps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:run1snps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:run1snps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:run1snps" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:run1snps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:run1snps" rateAC="@rateAC.s:run1snps" rateAG="@rateAG.s:run1snps" rateAT="@rateAT.s:run1snps" rateCG="@rateCG.s:run1snps" rateGT="@rateGT.s:run1snps" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:run1snps" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:run1snps" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:run1snps" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:run1snps" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:run1snps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	
0	-300406.6375433568	-300382.2506571562	-24.38688620058552	-300382.2506571562	0.9621528629241907	-8.482186563050353	1.0	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	
1000	-242826.0498359552	-243046.93893065082	220.88909469561685	-243046.93893065082	0.5143517965271843	236.79379433315205	13.189270057858735	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	
2000	-225371.44538575687	-225619.0012269138	247.555841156922	-225619.0012269138	0.3697068289555633	262.77401017473903	17.68557766242248	0.25	0.25	0.25	0.25	0.7980886259596589	1.0	1.0	1.0	0.6449994137986775	
3000	-213717.45245271336	-213986.29944577083	268.84699305745295	-213986.29944577083	0.26689047183235287	284.75818299886544	16.278974155720157	0.25	0.25	0.25	0.25	0.7980886259596589	1.970731114047225	1.0	1.0	0.6449994137986775	
4000	-205947.51387032983	-206214.87241427583	267.3585439460115	-206214.87241427583	0.27059909444884905	282.63270580608884	17.491954784191055	0.25	0.25	0.25	0.25	0.7980886259596589	1.970731114047225	1.0	0.53696856516506	0.6449994137986775	
5000	-198653.39038704216	-198934.63701481718	281.24662777501146	-198934.63701481718	0.23041590076781765	295.5464396512661	17.09733652352982	0.25	0.25	0.25	0.25	0.41777690786869887	1.970731114047225	0.7174208110397664	0.549044560932735	0.6449994137986775	
6000	-194844.3254543347	-195125.14086940527	280.8154150705593	-195125.14086940527	0.18839402485755594	295.11522694681395	20.86161281275167	0.24934825572605102	0.25	0.250651744273949	0.25	0.41777690786869887	1.970731114047225	0.7174208110397664	0.549044560932735	0.6449994137986775	
7000	-189654.0777173295	-189936.2651112737	282.18739394421607	-189936.2651112737	0.18637308095923974	295.9980612203045	20.272704470908717	0.238304245388737	0.2599654977737677	0.25439282921005885	0.2473374276274364	0.41777690786869887	1.970731114047225	0.44134805771341756	0.549044560932735	0.6449994137986775	
8000	-186192.7225119561	-186487.42432349996	294.70181154386285	-186487.42432349996	0.15582465973227314	308.67921089536344	20.002523669330238	0.238304245388737	0.2599654977737677	0.25439282921005885	0.2473374276274364	0.49395117708434905	1.970731114047225	0.44134805771341756	0.549044560932735	0.6449994137986775	
9000	-184277.5205453657	-184572.41151273705	294.8909673713374	-184572.41151273705	0.13277773064230128	308.76514756224765	21.460371191475016	0.23535139347044776	0.2599654977737677	0.2573456811283481	0.2473374276274364	0.49395117708434905	1.970731114047225	0.44134805771341756	0.5307216730180858	0.6024174112406275	
10000	-181455.78956100627	-181752.75449440954	296.96493340326043	-181752.75449440954	0.13301351533241496	310.81317524307207	19.777892523909692	0.2302917441159492	0.2599654977737677	0.26868915329722953	0.2410536048130536	0.48128812620294315	1.970731114047225	0.44134805771341756	0.5307216730180858	0.6024174112406275	
11000	-179288.77273033763	-179593.45042664726	304.67769630963426	-179593.45042664726	0.1184669109670131	318.5259381494459	25.466088085203065	0.2302917441159492	0.26859805699260664	0.26868915329722953	0.23242104559421464	0.48128812620294315	1.970731114047225	0.44134805771341756	0.5307216730180858	0.6024174112406275	
12000	-177835.64942283937	-178142.8953728107	307.24594997130697	-178142.8953728107	0.12375694049987149	321.03034583801247	23.061721290584966	0.2302917441159492	0.26859805699260664	0.26868915329722953	0.23242104559421464	0.48128812620294315	1.8539942331790342	0.44134805771341756	0.5307216730180858	0.6024174112406275	
13000	-175640.88036515037	-175950.71765691027	309.8372917598916	-175950.71765691027	0.10857284565405	323.0018179395071	24.62588710512759	0.2302917441159492	0.2703630672394987	0.26868915329722953	0.23065603534732257	0.4766653682426604	1.8539942331790342	0.34904466143581225	0.5307216730180858	0.41277656479284497	
14000	-173907.46082751188	-174217.7171238165	310.25629630459804	-174217.7171238165	0.10983655238373467	323.41444071976775	20.299139403967104	0.2302917441159492	0.2703630672394987	0.26868915329722953	0.23065603534732257	0.4766653682426604	1.8426785926456177	0.34904466143581225	0.5307216730180858	0.41277656479284497	
15000	-172241.76982089784	-172553.73581163742	311.96599073959436	-172553.73581163742	0.10983655238373467	325.25328793510266	22.11594620438144	0.2302917441159492	0.2703630672394987	0.26868915329722953	0.23065603534732257	0.4766653682426604	1.8426785926456177	0.34904466143581225	0.5307216730180858	0.4700450202329658	
